row_id,farmer_id,village,district,pH,N,P,K,organic_carbon,soil_moisture
S001,F001,Bhagwanpur,Roorkee,6.8,280,15,125,1.2,35
S002,F002,Landhaura,Roorkee,7.2,320,18,140,1.5,28
S003,F003,Manglaur,Roorkee,6.5,250,12,110,0.9,42
S004,F004,Clement Town,Dehradun,6.9,300,20,135,1.8,38
S005,F005,Doiwala,Dehradun,7.1,290,16,120,1.4,31
S006,F006,Rishikesh,Dehradun,6.7,270,14,115,1.1,45
S007,F007,Jwalapur,Haridwar,7.0,310,22,145,1.6,33
S008,F008,Bhagwanpur,Haridwar,6.6,260,11,105,1.0,29
S009,F009,Roorkee Cantt,Haridwar,7.3,330,25,150,1.9,40
S010,F010,Charthawal,Muzaffarnagar,6.8,285,17,130,1.3,36
S011,F011,Khatauli,Muzaffarnagar,7.0,295,19,125,1.5,32
S012,F012,Jansath,Muzaffarnagar,6.9,275,13,115,1.1,39
S013,F013,Behat,Saharanpur,7.1,305,21,140,1.7,34
S014,F014,Deoband,Saharanpur,6.7,265,15,120,1.2,37
S015,F015,Nakur,Saharanpur,6.8,290,18,135,1.4,30
